Fechas;Serie;Indice;Variable
2024-02-01;sarima;472.239942674812;Restaurantes y Hoteles
2024-03-01;sarima;473.8098518104175;Restaurantes y Hoteles
2024-04-01;sarima;475.3287102284151;Restaurantes y Hoteles
2024-05-01;sarima;476.2674809301571;Restaurantes y Hoteles
2024-06-01;sarima;478.8275423835752;Restaurantes y Hoteles
2024-07-01;sarima;480.41126162582833;Restaurantes y Hoteles
2024-08-01;sarima;482.0536279252585;Restaurantes y Hoteles
2024-09-01;sarima;483.81469287932356;Restaurantes y Hoteles
2024-10-01;sarima;485.05127982940127;Restaurantes y Hoteles
2023-11-01;auto_arima;466.8595200910583;Restaurantes y Hoteles
2023-12-01;auto_arima;469.83582903827096;Restaurantes y Hoteles
2024-01-01;auto_arima;473.10667721945964;Restaurantes y Hoteles
2024-02-01;auto_arima;476.24540541254333;Restaurantes y Hoteles
2024-03-01;auto_arima;479.1282830800804;Restaurantes y Hoteles
2024-04-01;auto_arima;481.9585816238595;Restaurantes y Hoteles
2024-05-01;auto_arima;484.517693985584;Restaurantes y Hoteles
2024-06-01;auto_arima;487.8451258403175;Restaurantes y Hoteles
2024-07-01;auto_arima;490.66928235696025;Restaurantes y Hoteles
2024-08-01;auto_arima;493.57718770131066;Restaurantes y Hoteles
2024-09-01;auto_arima;496.4937701608526;Restaurantes y Hoteles
2024-10-01;auto_arima;499.1662877037915;Restaurantes y Hoteles
2023-11-01;uc;466.7291272107464;Restaurantes y Hoteles
2023-12-01;uc;469.3691852254633;Restaurantes y Hoteles
2024-01-01;uc;472.513128074969;Restaurantes y Hoteles
2024-02-01;uc;475.6253863584326;Restaurantes y Hoteles
2024-03-01;uc;478.47217002790586;Restaurantes y Hoteles
2024-04-01;uc;481.3636846596423;Restaurantes y Hoteles
2024-05-01;uc;483.60580967793425;Restaurantes y Hoteles
2024-06-01;uc;487.0737278906195;Restaurantes y Hoteles
2024-07-01;uc;489.6017915212622;Restaurantes y Hoteles
2024-08-01;uc;492.43189982485757;Restaurantes y Hoteles
2024-09-01;uc;495.29998237862924;Restaurantes y Hoteles
2024-10-01;uc;497.609927492799;Restaurantes y Hoteles
2023-11-01;ets;466.82374346284587;Restaurantes y Hoteles
2023-12-01;ets;469.45403121771835;Restaurantes y Hoteles
2024-01-01;ets;472.3326697630112;Restaurantes y Hoteles
2024-02-01;ets;475.72517698484484;Restaurantes y Hoteles
2024-03-01;ets;478.4519527736064;Restaurantes y Hoteles
2024-04-01;ets;481.15342438673173;Restaurantes y Hoteles
2024-05-01;ets;483.9291576022257;Restaurantes y Hoteles
2024-06-01;ets;486.9097852512178;Restaurantes y Hoteles
2024-07-01;ets;489.3567852626095;Restaurantes y Hoteles
2024-08-01;ets;492.62624712774914;Restaurantes y Hoteles
2024-09-01;ets;495.14544291250866;Restaurantes y Hoteles
2024-10-01;ets;497.5278086506832;Restaurantes y Hoteles
2023-11-01;ll_trend;466.74870408623883;Restaurantes y Hoteles
2023-12-01;ll_trend;469.4974078205775;Restaurantes y Hoteles
2024-01-01;ll_trend;472.2461115549162;Restaurantes y Hoteles
2024-02-01;ll_trend;474.99481528925486;Restaurantes y Hoteles
2024-03-01;ll_trend;477.74351902359354;Restaurantes y Hoteles
